intervention,outcome,term,estimate,std.error,statistic,p.value,conf.low,conf.high,var_name,value_level
ab_job_corps,income_net_delta,region7South,52.89245032,1914.734812,0.027623904,0.977962241,-3700.021756,3805.806656,region7,South
ab_job_corps,income_net_delta,year_before2013,-65.013757,3913.83834,-0.016611253,0.986746823,-7736.20635,7606.178836,year_before,2013
ab_job_corps,income_net_delta,year_before2014,-1461.011884,3756.367223,-0.388942773,0.697320357,-8823.558292,5901.534524,year_before,2014
ab_job_corps,income_net_delta,year_before2015,1793.212935,3712.775619,0.482984462,0.629109165,-5483.893157,9070.319027,year_before,2015
ab_job_corps,income_net_delta,year_before2016,5962.056529,3810.881947,1.564482084,0.117711568,-1507.339706,13431.45276,year_before,2016
ab_job_corps,income_net_delta,year_before2017,5566.357475,3992.291503,1.394276312,0.163241201,-2258.604709,13391.31966,year_before,2017
ab_job_corps,income_net_delta,spell_duration,38.52497358,52.31068368,0.736464731,0.461451839,-64.00489461,141.0548418,spell_duration,
ab_job_corps,income_net_delta,income_net_before,-0.631527055,0.033861364,-18.65037282,2.49E-77,-0.697895929,-0.565158182,income_net_before,
ab_job_corps,earnings_total_delta,(Intercept),6513.344376,5395.904579,1.207090355,0.227403819,-4062.724341,17089.41309,NA,(Intercept)
ab_job_corps,earnings_total_delta,txTRUE,-1385.88305,896.2055539,-1.546389714,0.122017648,-3142.461838,370.6957371,tx,TRUE
ab_job_corps,earnings_total_delta,gender2Men,8452.481087,2106.818347,4.011964817,6.03E-05,4323.079743,12581.88243,gender2,Men
ab_job_corps,earnings_total_delta,gender2Women,4080.557776,2110.644044,1.933323522,0.053202744,-56.34200036,8217.457553,gender2,Women
ab_job_corps,earnings_total_delta,age_in_years,-15.59978664,37.20112129,-0.419336464,0.674972293,-88.51464445,57.31507117,age_in_years,
ab_job_corps,earnings_total_delta,marital3never married,561.9847469,945.9211398,0.594113741,0.552439087,-1292.037471,2416.006965,marital3,never married
ab_job_corps,earnings_total_delta,marital3apart,-3139.627027,2320.355919,-1.353079931,0.176037028,-7687.565799,1408.311745,marital3,apart
ab_job_corps,earnings_total_delta,marital3together,1064.630642,1245.280744,0.854932229,0.392593309,-1376.141712,3505.402996,marital3,together
ab_job_corps,earnings_total_delta,education4Less HS,-1650.587421,2430.386022,-0.679146196,0.497048796,-6414.187148,3113.012306,education4,Less HS
ab_job_corps,earnings_total_delta,education4High School,-920.1208169,2014.915305,-0.456654835,0.647921406,-4869.390567,3029.148933,education4,High School
ab_job_corps,earnings_total_delta,education4Post HS,1355.121885,2268.440349,0.597380436,0.550256478,-3091.06145,5801.30522,education4,Post HS
ab_job_corps,earnings_total_delta,education4University Degree,4817.958213,2656.290502,1.813791906,0.069716558,-388.4183025,10024.33473,education4,University Degree
ab_job_corps,earnings_total_delta,dependent41 dependent,1106.441318,1218.276854,0.908201871,0.363776535,-1281.402932,3494.285568,dependent4,1 dependent
ab_job_corps,earnings_total_delta,dependent42 dependents,-1180.546803,1625.481746,-0.726275029,0.467674036,-4366.519867,2005.426262,dependent4,2 dependents
ab_job_corps,earnings_total_delta,dependent43+ dependents,-1770.740167,1622.739131,-1.091204454,0.275188886,-4951.337657,1409.857322,dependent4,3+ dependents
ab_job_corps,earnings_total_delta,disability2With Disability,-5542.18322,1075.919959,-5.15111108,2.60E-07,-7651.00543,-3433.36101,disability2,With Disability
ab_job_corps,earnings_total_delta,ethnicityCaucasian,-2171.309088,1319.581032,-1.645453394,0.099883468,-4757.711325,415.0931491,ethnicity,Caucasian
ab_job_corps,earnings_total_delta,ethnicityVisible Minority,2482.172088,3268.533388,0.759414635,0.447608618,-3924.211347,8888.555524,ethnicity,Visible Minority
ab_job_corps,earnings_total_delta,ethnicityIndigenous,-3006.239042,1469.145897,-2.04624949,0.040737744,-5885.791068,-126.6870158,ethnicity,Indigenous
ab_job_corps,earnings_total_delta,immigrationborn in Canada,-479.1390936,1342.0401,-0.357022934,0.721076344,-3109.561503,2151.283316,immigration,born in Canada
ab_job_corps,earnings_total_delta,immigrationimmigrant,-1028.817155,2054.462351,-0.500771968,0.616534114,-5055.599816,2997.965507,immigration,immigrant
ab_job_corps,earnings_total_delta,region7North Central,977.2889986,2144.193213,0.455784018,0.64854754,-3225.367745,5179.945743,region7,North Central
ab_job_corps,earnings_total_delta,region7North East,3204.119295,3085.148345,1.038562473,0.299013957,-2842.826203,9251.064793,region7,North East
ab_job_corps,earnings_total_delta,region7Edmonton,144.7950485,1625.557421,0.08907409,0.929023433,-3041.326341,3330.916438,region7,Edmonton
ab_job_corps,earnings_total_delta,region7Central,3140.929027,2153.777012,1.458335292,0.144755264,-1080.512132,7362.370186,region7,Central
ab_job_corps,earnings_total_delta,region7Calgary,-1497.04152,1716.405846,-0.872195537,0.383106459,-4861.227434,1867.144394,region7,Calgary
ab_job_corps,earnings_total_delta,region7South,164.6700998,1880.379113,0.087572819,0.930216604,-3520.906326,3850.246526,region7,South
ab_job_corps,earnings_total_delta,year_before2013,-2050.027642,4041.624862,-0.50722858,0.611996978,-9971.684084,5871.628801,year_before,2013
ab_job_corps,earnings_total_delta,year_before2014,-3528.457747,3858.591621,-0.914441873,0.360489704,-11091.36579,4034.450295,year_before,2014
ab_job_corps,earnings_total_delta,year_before2015,1029.006946,3802.867662,0.270587104,0.786709881,-6424.681148,8482.69504,year_before,2015
ab_job_corps,earnings_total_delta,year_before2016,4798.550448,3855.813053,1.244497693,0.213323057,-2758.911551,12356.01245,year_before,2016
ab_job_corps,earnings_total_delta,year_before2017,2429.330227,4117.237987,0.590038816,0.555167648,-5640.529282,10499.18974,year_before,2017
ab_job_corps,earnings_total_delta,spell_duration,-159.936456,54.39067771,-2.940512285,0.0032784,-266.5431494,-53.3297626,spell_duration,
ab_job_corps,earnings_total_delta,earnings_total_before,-0.657645251,0.050835699,-12.93668151,3.28E-38,-0.757284123,-0.558006378,earnings_total_before,
ab_job_corps,income_total_delta,(Intercept),11390.74134,5283.403948,2.155947463,0.031093155,1035.175853,21746.30682,NA,(Intercept)
ab_job_corps,income_total_delta,txTRUE,-2160.223791,870.2929738,-2.482179974,0.013061821,-3866.013462,-454.4341205,tx,TRUE
ab_job_corps,income_total_delta,gender2Men,4214.654074,1864.790486,2.260122038,0.02381853,559.631633,7869.676515,gender2,Men
ab_job_corps,income_total_delta,gender2Women,-1849.435826,1878.23757,-0.984665548,0.324793779,-5530.814791,1831.943138,gender2,Women
ab_job_corps,income_total_delta,age_in_years,38.40415696,36.85643765,1.041993188,0.297420546,-33.8351148,110.6434287,age_in_years,
ab_job_corps,income_total_delta,marital3never married,-189.4922957,908.4973999,-0.208577697,0.834778885,-1970.163319,1591.178728,marital3,never married
ab_job_corps,income_total_delta,marital3apart,-2255.607388,2235.628539,-1.008936569,0.313010588,-6637.478993,2126.264217,marital3,apart
ab_job_corps,income_total_delta,marital3together,102.2656331,1306.614989,0.078267611,0.937615536,-2458.72293,2663.254196,marital3,together
ab_job_corps,income_total_delta,education4Less HS,-42.70272164,2622.163564,-0.016285301,0.987006858,-5182.189834,5096.78439,education4,Less HS
ab_job_corps,income_total_delta,education4High School,-193.6444881,2262.661241,-0.085582625,0.931798599,-4628.500667,4241.211691,education4,High School
ab_job_corps,income_total_delta,education4Post HS,1687.188615,2491.054395,0.677298986,0.498219825,-3195.322199,6569.699429,education4,Post HS
ab_job_corps,income_total_delta,education4University Degree,4984.956762,2820.339352,1.767502467,0.077151026,-542.958411,10512.87193,education4,University Degree
ab_job_corps,income_total_delta,dependent41 dependent,2198.983858,1261.624932,1.74297749,0.081344512,-273.8233953,4671.791111,dependent4,1 dependent
ab_job_corps,income_total_delta,dependent42 dependents,-558.7147983,1477.178589,-0.378231043,0.705260786,-3454.011043,2336.581447,dependent4,2 dependents
ab_job_corps,income_total_delta,dependent43+ dependents,-440.6587153,1665.606496,-0.264563519,0.791346962,-3705.277002,2823.959571,dependent4,3+ dependents
ab_job_corps,income_total_delta,disability2With Disability,-605.8722842,1021.630546,-0.59304441,0.553154471,-2608.286282,1396.541714,disability2,With Disability
ab_job_corps,income_total_delta,ethnicityCaucasian,-2448.582935,1222.415277,-2.003069644,0.045175918,-4844.538569,-52.62730073,ethnicity,Caucasian
ab_job_corps,income_total_delta,ethnicityVisible Minority,3880.825256,3550.769165,1.092953407,0.274420224,-3078.74531,10840.39582,ethnicity,Visible Minority
ab_job_corps,income_total_delta,ethnicityIndigenous,-2843.165727,1371.381961,-2.073212137,0.03815833,-5531.098704,-155.2327493,ethnicity,Indigenous
ab_job_corps,income_total_delta,immigrationborn in Canada,-608.9714686,1221.723795,-0.498452654,0.618167516,-3003.571784,1785.628847,immigration,born in Canada
ab_job_corps,income_total_delta,immigrationimmigrant,373.8513537,2423.405877,0.154266917,0.877399987,-4376.067164,5123.769872,immigration,immigrant
ab_job_corps,income_total_delta,region7North Central,310.6906975,2051.956583,0.151411926,0.879651475,-3711.180615,4332.56201,region7,North Central
ab_job_corps,income_total_delta,region7North East,3852.147037,3104.143016,1.240969574,0.214623586,-2232.028353,9936.322427,region7,North East
ab_job_corps,income_total_delta,region7Edmonton,-292.3352942,1641.556683,-0.178084191,0.858657675,-3509.815521,2925.144932,region7,Edmonton
ab_job_corps,income_total_delta,region7Central,1924.879922,2120.814916,0.907613346,0.364087497,-2231.954943,6081.714788,region7,Central
ab_job_corps,income_total_delta,region7Calgary,-2497.891618,1734.130141,-1.440429158,0.149753114,-5896.817463,901.0342278,region7,Calgary
ab_job_corps,income_total_delta,region7South,-133.2317202,1946.299828,-0.068453852,0.945424665,-3948.013918,3681.550477,region7,South
ab_job_corps,income_total_delta,year_before2013,-293.0846082,4170.466852,-0.070276211,0.943974135,-8467.273636,7881.10442,year_before,2013
ab_job_corps,income_total_delta,year_before2014,-1749.401137,3987.644193,-0.438705424,0.660877144,-9565.254511,6066.452238,year_before,2014
ab_job_corps,income_total_delta,year_before2015,1574.691807,3936.103483,0.40006362,0.689111595,-6140.140861,9289.524475,year_before,2015
ab_job_corps,income_total_delta,year_before2016,5869.229609,4023.326039,1.458800394,0.144627172,-2016.560815,13755.02003,year_before,2016
ab_job_corps,income_total_delta,year_before2017,5612.021003,4208.842045,1.333388363,0.182411272,-2637.384085,13861.42609,year_before,2017
ab_job_corps,income_total_delta,spell_duration,36.72492827,53.26074244,0.689530911,0.490492853,-67.66707195,141.1169285,spell_duration,
ab_job_corps,income_total_delta,income_total_before,-0.630022129,0.034375941,-18.32741468,9.48E-75,-0.697399583,-0.562644674,income_total_before,
ab_job_corps,income_taxable_delta,(Intercept),7760.002026,5159.15112,1.504123807,0.132556648,-2352.025712,17872.02976,NA,(Intercept)
ab_job_corps,income_taxable_delta,txTRUE,-1756.586893,876.5407603,-2.003999098,0.045076257,-3474.622336,-38.55144944,tx,TRUE
ab_job_corps,income_taxable_delta,gender2Men,7321.786683,2288.189075,3.199817167,0.00137612,2836.895496,11806.67787,gender2,Men
ab_job_corps,income_taxable_delta,gender2Women,1939.825047,2281.132544,0.850378051,0.395119549,-2531.235215,6410.88531,gender2,Women
ab_job_corps,income_taxable_delta,age_in_years,-3.371251777,37.29614716,-0.090391422,0.927976583,-76.47236198,69.72985842,age_in_years,
ab_job_corps,income_taxable_delta,marital3never married,-91.9192336,903.2719954,-0.101762519,0.918945639,-1862.348372,1678.509905,marital3,never married
ab_job_corps,income_taxable_delta,marital3apart,-3452.545608,2613.634934,-1.320974695,0.186516652,-8575.316454,1670.225237,marital3,apart
ab_job_corps,income_taxable_delta,marital3together,273.487179,1272.670325,0.214892399,0.829852204,-2220.969239,2767.943597,marital3,together
ab_job_corps,income_taxable_delta,education4Less HS,-940.9404982,2180.571095,-0.431511039,0.666098936,-5214.898535,3333.017539,education4,Less HS
ab_job_corps,income_taxable_delta,education4High School,-810.198245,1794.476911,-0.451495497,0.651634688,-4327.404832,2707.008342,education4,High School
ab_job_corps,income_taxable_delta,education4Post HS,1648.0315,2028.708342,0.812355067,0.416592304,-2328.272846,5624.335847,education4,Post HS
ab_job_corps,income_taxable_delta,education4University Degree,4960.09585,2542.022462,1.951239977,0.051034824,-22.31328034,9942.504981,education4,University Degree
ab_job_corps,income_taxable_delta,dependent41 dependent,1442.871216,1216.244755,1.18633294,0.23549723,-940.9900843,3826.732517,dependent4,1 dependent
ab_job_corps,income_taxable_delta,dependent42 dependents,-791.0975458,1382.346226,-0.572286111,0.567131073,-3500.520677,1918.325586,dependent4,2 dependents
ab_job_corps,income_taxable_delta,dependent43+ dependents,-2032.04491,1773.064108,-1.146063981,0.251774894,-5507.282023,1443.192203,dependent4,3+ dependents
ab_job_corps,income_taxable_delta,disability2With Disability,-5546.537572,1079.191428,-5.13953079,2.77E-07,-7661.771919,-3431.303225,disability2,With Disability
ab_job_corps,income_taxable_delta,ethnicityCaucasian,-2223.348484,1218.332824,-1.824910599,0.068021279,-4611.302437,164.6054697,ethnicity,Caucasian
ab_job_corps,income_taxable_delta,ethnicityVisible Minority,2656.509369,3675.590375,0.722743586,0.469841262,-4547.712985,9860.731722,ethnicity,Visible Minority
ab_job_corps,income_taxable_delta,ethnicityIndigenous,-2587.142601,1336.101274,-1.936337201,0.052832792,-5205.924806,31.6396037,ethnicity,Indigenous
ab_job_corps,income_taxable_delta,immigrationborn in Canada,-644.6242008,1310.849851,-0.491760517,0.622891097,-3213.913167,1924.664766,immigration,born in Canada
ab_job_corps,income_taxable_delta,immigrationimmigrant,1075.008704,2570.698137,0.418177727,0.675819214,-3963.605259,6113.622666,immigration,immigrant
ab_job_corps,income_taxable_delta,region7North Central,1163.735921,1976.422519,0.58880928,0.555992233,-2710.087285,5037.559127,region7,North Central
ab_job_corps,income_taxable_delta,region7North East,3738.01363,2971.63356,1.257898578,0.208435094,-2086.440876,9562.468135,region7,North East
ab_job_corps,income_taxable_delta,region7Edmonton,456.302647,1572.586657,0.290160574,0.77169476,-2625.995104,3538.600398,region7,Edmonton
ab_job_corps,income_taxable_delta,region7Central,3120.704727,2046.354984,1.525006536,0.127264634,-890.1873522,7131.596806,region7,Central
ab_job_corps,income_taxable_delta,region7Calgary,-778.3006609,1677.401732,-0.463991807,0.642655904,-4066.037819,2509.436497,region7,Calgary
ab_job_corps,income_taxable_delta,region7South,1245.07145,1906.179653,0.65317634,0.513646004,-2491.074492,4981.217391,region7,South
ab_job_corps,income_taxable_delta,year_before2013,-723.2791799,3972.43297,-0.182074609,0.855525011,-8509.318286,7062.759926,year_before,2013
ab_job_corps,income_taxable_delta,year_before2014,-2609.584195,3794.18669,-0.687784869,0.491591881,-10046.25743,4827.089041,year_before,2014
ab_job_corps,income_taxable_delta,year_before2015,1181.181003,3755.258115,0.314540563,0.753112,-6179.191534,8541.553541,year_before,2015
ab_job_corps,income_taxable_delta,year_before2016,5581.78761,3811.732531,1.464370221,0.143099944,-1889.275785,13052.85101,year_before,2016
ab_job_corps,income_taxable_delta,year_before2017,3755.828071,4022.310578,0.933748899,0.350438544,-4127.972031,11639.62817,year_before,2017
ab_job_corps,income_taxable_delta,spell_duration,-138.0581777,53.25333991,-2.59247923,0.009531835,-242.4356688,-33.68068653,spell_duration,
ab_job_corps,income_taxable_delta,income_taxable_before,-0.609207474,0.034916574,-17.44751597,6.08E-68,-0.677644577,-0.54077037,income_taxable_before,
career_planning,income_net_delta,(Intercept),21509.74335,2530.469422,8.500297679,1.95E-17,16549.97839,26469.50832,NA,(Intercept)
career_planning,income_net_delta,txTRUE,1044.019708,292.5065359,3.569218394,3.58E-04,470.7017077,1617.337709,tx,TRUE
career_planning,income_net_delta,gender2Men,591.4335503,1370.828654,0.431442361,0.666148862,-2095.414935,3278.282035,gender2,Men
career_planning,income_net_delta,gender2Women,-4252.332483,1371.185227,-3.101209377,0.001928534,-6939.879858,-1564.785109,gender2,Women
career_planning,income_net_delta,age_in_years,42.21755638,11.97299555,3.52606465,4.22E-04,18.75027265,65.68484011,age_in_years,
career_planning,income_net_delta,marital3never married,330.4299835,328.6857791,1.005306601,0.31475475,-313.7999756,974.6599425,marital3,never married
career_planning,income_net_delta,marital3apart,-499.0714984,745.0765316,-0.66982582,0.502972337,-1959.434721,961.291724,marital3,apart
career_planning,income_net_delta,marital3together,-402.4240407,470.6894686,-0.854967165,0.392573967,-1324.983751,520.1356695,marital3,together
career_planning,income_net_delta,education4Less HS,-7056.589337,1290.700231,-5.467256584,4.60E-08,-9586.384692,-4526.793982,education4,Less HS
career_planning,income_net_delta,education4High School,-6969.575706,1208.846843,-5.765474548,8.20E-09,-9338.936967,-4600.214444,education4,High School
career_planning,income_net_delta,education4Post HS,-4387.433705,1233.587815,-3.556644815,3.76E-04,-6805.28771,-1969.5797,education4,Post HS
career_planning,income_net_delta,education4University Degree,-3304.271124,1284.821864,-2.571773734,0.010121141,-5822.544775,-785.9974721,education4,University Degree
career_planning,income_net_delta,dependent41 dependent,735.4855277,423.8303943,1.735329834,0.082689381,-95.22956548,1566.200621,dependent4,1 dependent
career_planning,income_net_delta,dependent42 dependents,393.8831384,534.6244898,0.73674728,0.461279966,-653.9903477,1441.756624,dependent4,2 dependents
career_planning,income_net_delta,dependent43+ dependents,112.8283754,660.0081099,0.170949983,0.864263878,-1180.799231,1406.455982,dependent4,3+ dependents
career_planning,income_net_delta,disability2With Disability,-3145.957519,351.9375557,-8.938965074,4.08E-19,-3835.761373,-2456.153665,disability2,With Disability
career_planning,income_net_delta,ethnicityCaucasian,-1146.458304,445.3225512,-2.574444749,0.010043341,-2019.298406,-273.6182016,ethnicity,Caucasian
career_planning,income_net_delta,ethnicityVisible Minority,442.3930616,1004.80243,0.440278654,0.659737455,-1527.03753,2411.823653,ethnicity,Visible Minority
career_planning,income_net_delta,ethnicityIndigenous,-5035.076705,663.3667857,-7.590185119,3.26E-14,-6335.287375,-3734.866034,ethnicity,Indigenous
career_planning,income_net_delta,immigrationborn in Canada,-1188.924009,430.8051813,-2.759771843,0.005786559,-2033.309808,-344.5382096,immigration,born in Canada
career_planning,income_net_delta,immigrationimmigrant,672.5197121,712.0908579,0.944429639,0.344955312,-723.1910044,2068.230429,immigration,immigrant
career_planning,income_net_delta,region7North Central,-522.0010313,1047.509468,-0.498325836,0.618256884,-2575.138175,1531.136113,region7,North Central
career_planning,income_net_delta,region7North East,2082.998311,1285.562645,1.6203009,0.105174801,-436.7272844,4602.723905,region7,North East
career_planning,income_net_delta,region7Edmonton,-529.6190172,696.9874724,-0.759868775,0.447337087,-1895.72683,836.4887959,region7,Edmonton
career_planning,income_net_delta,region7Central,-1644.772763,767.0927746,-2.144164067,0.032025189,-3148.288213,-141.2573141,region7,Central
career_planning,income_net_delta,region7Calgary,-2493.273979,711.1450258,-3.505999323,4.55E-04,-3887.130848,-1099.41711,region7,Calgary
career_planning,income_net_delta,region7South,-2536.205307,789.7648402,-3.211342387,0.001322111,-4084.158407,-988.2522074,region7,South
career_planning,income_net_delta,year_before2013,1985.377967,1557.370285,1.274827179,0.202377131,-1067.095426,5037.851359,year_before,2013
career_planning,income_net_delta,year_before2014,804.4544084,1535.152825,0.524022361,0.600265619,-2204.472368,3813.381185,year_before,2014
career_planning,income_net_delta,year_before2015,3594.432019,1540.272495,2.333633841,0.019619369,575.4705984,6613.393441,year_before,2015
career_planning,income_net_delta,year_before2016,4377.917438,1569.817295,2.788806985,0.005292524,1301.047685,7454.787191,year_before,2016
career_planning,income_net_delta,year_before2017,5621.717277,1592.377262,3.530392835,4.15E-04,2500.629588,8742.804966,year_before,2017
career_planning,income_net_delta,spell_duration,-50.37287017,19.02566887,-2.647626768,0.008108777,-87.66351873,-13.0822216,spell_duration,
career_planning,income_net_delta,income_net_before,-0.645572261,0.013729175,-47.02192624,0,-0.672481688,-0.618662835,income_net_before,
career_planning,earnings_total_delta,(Intercept),21627.46647,2591.566943,8.345324257,7.31E-17,16547.94928,26706.98366,NA,(Intercept)
career_planning,earnings_total_delta,txTRUE,1837.419481,321.0526043,5.723110344,1.05E-08,1208.15068,2466.688282,tx,TRUE
career_planning,earnings_total_delta,gender2Men,573.9813197,1475.020393,0.389134498,0.697178533,-2317.084822,3465.047462,gender2,Men
career_planning,earnings_total_delta,gender2Women,-3967.521423,1472.154939,-2.695043379,0.007040612,-6852.971225,-1082.07162,gender2,Women
career_planning,earnings_total_delta,age_in_years,-43.97987562,12.41418561,-3.542711299,3.96E-04,-68.31189969,-19.64785156,age_in_years,
career_planning,earnings_total_delta,marital3never married,513.8324681,356.8860996,1.439765989,0.14994071,-185.6706195,1213.335556,marital3,never married
career_planning,earnings_total_delta,marital3apart,-214.1720368,795.2381977,-0.269318095,0.787686168,-1772.853015,1344.508941,marital3,apart
career_planning,earnings_total_delta,marital3together,-171.9145723,519.6000152,-0.330859444,0.740752228,-1190.339822,846.5106771,marital3,together
career_planning,earnings_total_delta,education4Less HS,-8572.426023,1441.942035,-5.945055914,2.78E-09,-11398.658,-5746.194049,education4,Less HS
career_planning,earnings_total_delta,education4High School,-8152.587686,1356.090289,-6.011832512,1.85E-09,-10810.54871,-5494.626659,education4,High School
career_planning,earnings_total_delta,education4Post HS,-4596.389255,1385.169193,-3.318287239,9.06E-04,-7311.345451,-1881.43306,education4,Post HS
career_planning,earnings_total_delta,education4University Degree,-3584.547778,1449.965767,-2.47216028,0.013433671,-6426.506409,-742.589146,education4,University Degree
career_planning,earnings_total_delta,dependent41 dependent,1681.052773,459.4680064,3.658693857,2.54E-04,780.4873275,2581.618218,dependent4,1 dependent
career_planning,earnings_total_delta,dependent42 dependents,1056.76368,582.6812877,1.813622133,0.06974271,-85.30198306,2198.829342,dependent4,2 dependents
career_planning,earnings_total_delta,dependent43+ dependents,710.833306,738.9716062,0.961922353,0.33609388,-737.5641543,2159.230766,dependent4,3+ dependents
career_planning,earnings_total_delta,disability2With Disability,-7930.629748,385.5447976,-20.56993065,1.40E-93,-8686.304393,-7174.955104,disability2,With Disability
career_planning,earnings_total_delta,ethnicityCaucasian,-1204.354299,484.5971892,-2.485268849,0.012949038,-2154.173388,-254.5352094,ethnicity,Caucasian
career_planning,earnings_total_delta,ethnicityVisible Minority,214.6387195,1152.136072,0.186296328,0.852213243,-2043.568424,2472.845863,ethnicity,Visible Minority
career_planning,earnings_total_delta,ethnicityIndigenous,-4847.268333,704.1759392,-6.883604029,5.91E-12,-6227.465668,-3467.070997,ethnicity,Indigenous
career_planning,earnings_total_delta,immigrationborn in Canada,-1650.138242,472.0815923,-3.495451356,4.74E-04,-2575.426539,-724.8499447,immigration,born in Canada
career_planning,earnings_total_delta,immigrationimmigrant,-345.8372686,779.1986816,-0.443837081,0.657162553,-1873.08051,1181.405973,immigration,immigrant
career_planning,earnings_total_delta,region7North Central,-855.2392835,1168.596824,-0.731851453,0.464263127,-3145.709793,1435.231226,region7,North Central
career_planning,earnings_total_delta,region7North East,-486.254994,1394.195716,-0.348770971,0.727262922,-3218.903336,2246.393348,region7,North East
career_planning,earnings_total_delta,region7Edmonton,-772.4901895,739.8531067,-1.044112923,0.296438867,-2222.615406,677.6350272,region7,Edmonton
career_planning,earnings_total_delta,region7Central,-1548.966631,811.9275282,-1.907764642,0.056428127,-3140.358992,42.42573129,region7,Central
career_planning,earnings_total_delta,region7Calgary,-2131.905435,758.2347861,-2.811669254,0.004930689,-3618.05907,-645.7518009,region7,Calgary
career_planning,earnings_total_delta,region7South,-3344.293375,830.1362099,-4.028607999,5.62E-05,-4971.375076,-1717.211674,region7,South
career_planning,earnings_total_delta,year_before2013,2732.578961,1361.787105,2.006612452,0.044797033,63.4520726,5401.705849,year_before,2013
career_planning,earnings_total_delta,year_before2014,1120.893309,1322.397907,0.847621811,0.396653221,-1471.030053,3712.816671,year_before,2014
career_planning,earnings_total_delta,year_before2015,4568.591542,1326.936161,3.442962575,5.76E-04,1967.773122,7169.409961,year_before,2015
career_planning,earnings_total_delta,year_before2016,5232.928186,1366.637565,3.82905338,1.29E-04,2554.29431,7911.562062,year_before,2016
career_planning,earnings_total_delta,year_before2017,4556.89304,1397.535858,3.260662698,0.001112364,1817.697962,7296.088118,year_before,2017
career_planning,earnings_total_delta,spell_duration,-203.8088161,20.01126555,-10.18470399,2.47E-24,-243.0312516,-164.5863805,spell_duration,
